name,시도,구,동,code,폐지여부
서울시 종로구 청운동,서울시,종로구,청운동,1111010100,존재
서울시 종로구 신교동,서울시,종로구,신교동,1111010200,존재
서울시 종로구 궁정동,서울시,종로구,궁정동,1111010300,존재
서울시 종로구 효자동,서울시,종로구,효자동,1111010400,존재
서울시 종로구 창성동,서울시,종로구,창성동,1111010500,존재
서울시 종로구 통의동,서울시,종로구,통의동,1111010600,존재
서울시 종로구 적선동,서울시,종로구,적선동,1111010700,존재
서울시 종로구 통인동,서울시,종로구,통인동,1111010800,존재
서울시 종로구 누상동,서울시,종로구,누상동,1111010900,존재
서울시 종로구 누하동,서울시,종로구,누하동,1111011000,존재
서울시 종로구 옥인동,서울시,종로구,옥인동,1111011100,존재
서울시 종로구 체부동,서울시,종로구,체부동,1111011200,존재
서울시 종로구 필운동,서울시,종로구,필운동,1111011300,존재
서울시 종로구 내자동,서울시,종로구,내자동,1111011400,존재
서울시 종로구 사직동,서울시,종로구,사직동,1111011500,존재
서울시 종로구 도렴동,서울시,종로구,도렴동,1111011600,존재
서울시 종로구 당주동,서울시,종로구,당주동,1111011700,존재
서울시 종로구 내수동,서울시,종로구,내수동,1111011800,존재
서울시 종로구 세종로,서울시,종로구,세종로,1111011900,존재
서울시 종로구 신문로1가,서울시,종로구,신문로1가,1111012000,존재
서울시 종로구 신문로2가,서울시,종로구,신문로2가,1111012100,존재
서울시 종로구 청진동,서울시,종로구,청진동,1111012200,존재
서울시 종로구 서린동,서울시,종로구,서린동,1111012300,존재
서울시 종로구 수송동,서울시,종로구,수송동,1111012400,존재
서울시 종로구 중학동,서울시,종로구,중학동,1111012500,존재
서울시 종로구 종로1가,서울시,종로구,종로1가,1111012600,존재
서울시 종로구 공평동,서울시,종로구,공평동,1111012700,존재
서울시 종로구 관훈동,서울시,종로구,관훈동,1111012800,존재
서울시 종로구 견지동,서울시,종로구,견지동,1111012900,존재
서울시 종로구 와룡동,서울시,종로구,와룡동,1111013000,존재
서울시 종로구 권농동,서울시,종로구,권농동,1111013100,존재
서울시 종로구 운니동,서울시,종로구,운니동,1111013200,존재
서울시 종로구 익선동,서울시,종로구,익선동,1111013300,존재
서울시 종로구 경운동,서울시,종로구,경운동,1111013400,존재
서울시 종로구 관철동,서울시,종로구,관철동,1111013500,존재
서울시 종로구 인사동,서울시,종로구,인사동,1111013600,존재
서울시 종로구 낙원동,서울시,종로구,낙원동,1111013700,존재
서울시 종로구 종로2가,서울시,종로구,종로2가,1111013800,존재
서울시 종로구 팔판동,서울시,종로구,팔판동,1111013900,존재
서울시 종로구 삼청동,서울시,종로구,삼청동,1111014000,존재
서울시 종로구 안국동,서울시,종로구,안국동,1111014100,존재
서울시 종로구 소격동,서울시,종로구,소격동,1111014200,존재
서울시 종로구 화동,서울시,종로구,화동,1111014300,존재
서울시 종로구 사간동,서울시,종로구,사간동,1111014400,존재
서울시 종로구 송현동,서울시,종로구,송현동,1111014500,존재
서울시 종로구 가회동,서울시,종로구,가회동,1111014600,존재
서울시 종로구 재동,서울시,종로구,재동,1111014700,존재
서울시 종로구 계동,서울시,종로구,계동,1111014800,존재
서울시 종로구 원서동,서울시,종로구,원서동,1111014900,존재
서울시 종로구 훈정동,서울시,종로구,훈정동,1111015000,존재
서울시 종로구 묘동,서울시,종로구,묘동,1111015100,존재
서울시 종로구 봉익동,서울시,종로구,봉익동,1111015200,존재
서울시 종로구 돈의동,서울시,종로구,돈의동,1111015300,존재
서울시 종로구 장사동,서울시,종로구,장사동,1111015400,존재
서울시 종로구 관수동,서울시,종로구,관수동,1111015500,존재
서울시 종로구 종로3가,서울시,종로구,종로3가,1111015600,존재
서울시 종로구 인의동,서울시,종로구,인의동,1111015700,존재
서울시 종로구 예지동,서울시,종로구,예지동,1111015800,존재
서울시 종로구 원남동,서울시,종로구,원남동,1111015900,존재
